Company Name,Job Title,Job Description,Minimum Qualification,Location,Total Experience,Key Skills,Salary/Wage Type,Nature of Job,Salary,Number of Openings,Search Keyword
Apna (On behalf of Dentilligent)Click here for more details,Delivery Associate,"Job Title: Delivery Associate
 Company: Dentilligent
  Location: Dombivli, Maharashtra, India
  Contact: Dentilligent HR   8433577543
 Job Type: Full-Time | Field Role Gender: Both Male & Female Candidates Can Apply
  Experience: Freshers are Welcome!
 Job Summary: We are looking for a responsible and punctual Delivery Associate to join our dental logistics team. You will be in charge of delivering dental products and materials to our clients in a professional and timely manner.
 Key Responsibilities:
 Pick-Up & Delivery:
Collect dental products from our lab and deliver them to dental offices, clinics, and hospitals.
 Timely Execution:
Ensure deliveries are made on time and in excellent condition.
 Client Coordination:
Communicate effectively with clients and confirm delivery requirements.
 Documentation:
Maintain delivery records, collect delivery confirmations, and follow protocols.
 Safety & Compliance:
Follow traffic rules and company delivery procedures at all times.
 Should own a smartphone
 Two-wheeler license preferred (own vehicle is a plus)
 Professional, polite, and customer-focused attitude
 Punctual and reliable

 How to Apply:Interested candidates can call Dentilligent HR at  8433577543 for more details.
 Join Dentilligent and help bridge the connection between cutting-edge dental labs and expert dental professionals!",Apna (On behalf of Dentilligent)Click here for more details,N/A,0 - 31,"delivery, Road safety, Pickup and drop, Two-wheeler driving, Traffic systems, Package distribution, Deliver packages, Google map operation, Online transaction knowledge, Receiving packages, Delivery routes assigning",Monthly,Full Time,12000 - 15000,1,driving
Apna (On behalf of Sun Raising Services Private Limited)Click here for more details,Delivery Boy Biker,"*Hiring Delivery Boys 
*Location:suncity
*Salary:21000
*Attendance bonus:1000
*Extra Incentives:
Petrol Allowance 
Mobile Allowance 

*Mandatory documents 
Aadhar card 
Pan card 
Bike and driving license must",Apna (On behalf of Sun Raising Services Private Limited)Click here for more details,"HyderabadDistrict: Hyderabad, State: Telangana",0 - 31,"driving, Road safety, route analysis, Google map operation",Monthly,Full Time,N/A,1,driving
Apna (On behalf of Bhavi Consulting Services)Click here for more details,Server Engineer,"Diploma / B.E., in Electrical, Mechanical, or a related field.
 24 years of field experience in servicing vending machines or similar equipment(router, refrigerator, AC, washing machine home applicance).
 Basic understanding of electrical circuits, sensors, and wiring.
 Knowledge of microcontrollers and basic software interface is a plus.
 Strong analytical and problem-solving skills.
 Willingness to travel and work on-site regularly.
 Two-wheeler and valid driving license preferred.",Apna (On behalf of Bhavi Consulting Services)Click here for more details,"CoimbatoreDistrict: Coimbatore, State: Tamil Nadu",0 - 31,"Electrical Engineering, Servicing, Electrical Maintenance, transformer maintenance, REPAIRING, Digital Circuits, repair, Electrical Wiring, equipment manufacturing, service maintenance , Wiring circuits, Circuit board, Maintain generators",Monthly,Full Time,15000 - 26000,1,driving
Apna (On behalf of Padma Sai Finance)Click here for more details,Sales Executive,"As a Sales Executive specializing in two-wheeler and three-wheeler, you will be responsible for driving sales and revenue growth within your designated territory. You will play a key role in building and maintaining strong relationships with customers, dealers, and other stakeholders, while promoting our brand and product offerings.
Key Responsibilities:
1. Prospect and acquire new customers through various sales channels, including direct sales, referrals, and networking.
2. Develop and implement strategic sales plans to achieve sales targets and objectives within the assigned territory.
3. Conduct market research and analysis to identify new business opportunities and stay abreast of industry trends and competitors' activities.
4. Build and maintain strong relationships with existing customers, dealerships, and other key stakeholders to ensure customer satisfaction and retention.
5. Provide product demonstrations and presentations to potential customers, highlighting features, benefits, and value propositions of our two-wheelers and three-wheelers.
6. Negotiate sales contracts and pricing agreements with customers to maximize profitability while ensuring customer satisfaction.
7. Collaborate with cross-functional teams, including marketing, finance, and operations, to support sales initiatives and resolve customer issues.
8. Prepare and submit sales reports, forecasts, and other documentation as required by management.
9. Stay updated on product knowledge, industry developments, and regulatory requirements related to two-wheeler and three-wheeler.
10. Attend sales meetings, training sessions, and other company events to enhance professional development and performance.
Qualifications:
1. Bachelor's degree in Business Administration, Marketing, or a related field (preferred).
2. Proven track record of successful sales experience in the automotive or transportation industry, with a focus on two-wheelers and three-wheelers preferred.
3. Strong interpersonal and comm",Apna (On behalf of Padma Sai Finance)Click here for more details,"HyderabadDistrict: Hyderabad, State: Telangana",0 - 31,"B2B Sales, B2C Sales, Inside Sales, Channel Sales, area sales, Enterprise Sales, Area Sales Management, SMB sales",Monthly,Full Time,15000 - 28000,1,driving
Apna (On behalf of Sri Venkatesh Enterprises)Click here for more details,Digital Marketing Executive,"We are seeking a creative and data-driven Digital Marketing Specialist to join our team. You will be responsible for developing, implementing, and managing marketing campaigns that promote our brand, products, and services. Your primary focus will be increasing brand awareness, driving traffic to the website, and generating quality leads through digital channels.
Key Responsibilities: Develop and execute digital marketing campaigns across various platforms (Google, Facebook, Instagram, LinkedIn, etc.)
Manage and grow the companys social media presence across all platforms
Stay updated with the latest trends and technologies in digital marketing
Prepare performance reports and present insights and recommendations to stakeholders

Requirements: Bachelor's
degree in Marketing, Communications, or a related field
13 years of experience in digital marketing or a similar role",Apna (On behalf of Sri Venkatesh Enterprises)Click here for more details,"HyderabadDistrict: Hyderabad, State: Telangana",1 - 31,"Digital Marketing, social media marketing, Social Media Advertising, Social Media Content Marketing, Digital/Online Marketing",Monthly,Full Time,25000 - 25000,1,driving
Apna (On behalf of Quess Corp Limited)Click here for more details,Sales Officer,"Roles & Responsibilities:





1. Area/ Lane /Geography Mapping:



Responsible for lane to lane/ Area mapping of Area/ Geography at regular intervals with the help of supervisor. Identify new sources in the allocated Area/ Geography and inform the progress to reporting manager during team huddle.





2. Source Relationship Management:



Responsible for managing the relationship with all sources assigned and identified by him in his geography/area.



3. Maintain Reports:



Responsible for maintaining reports related to sales and all his activities in the prescribed format. Should maintain diary on daily basis in the prescribed format of activities.





4. Channel Partner Recruitment:



Responsible for identifying the need for appointment of a channel partner





5. Team Huddle:



Responsible for attending team huddle on a daily basis as per the set process.





6. Customer Relationship Management:



Responsible for enhancing the customer experience by developing and maintaining relationship with customers.





7. Completion of File:



Responsible for submission of complete application form, documentations and information





Desired candidate profile:





1. Must be a graduate from any stream



2. Should have minimum Sales knowledge Banking Product sales



3. Candidates with prior to handle multiple products cross selling.



4. Open to travel, Known driving Added an advantage.



5. Must have good communication skills",Apna (On behalf of Quess Corp Limited)Click here for more details,"BangaloreDistrict: Bangalore, State: Karnataka",1 - 31,"Customer Relationship Management, Team Handling, B2C Sales, Channel Sales, Area Sales Management, Report analysis, SMB sales",Monthly,Full Time,18000 - 27500,1,driving
Apna (On behalf of Blinkit Private Limited)Click here for more details,Delivery Boy,"I am talking to Blinkit office. You had applied for my delivery boy job to do the job of your interest.
I will need your documents to make id .
1. Adhar card
2. Pan card
3. Bike ( compulsory)
4. bank passbook
5. Selfie
Where are you from ?
You can earn 7 to 8 thousand weekly, you can earn 22 to 24 thousand monthly.
Your entire salary will be order base which will be shown on your application.
500m - 1KM - 20 to 25 rupees
1 KM - 3 KM - 25 to 35 rupees
3 Km - 5 KM - 35 to 50 rupees
If your goes above 5 km upar then you get 10rs per km amount added.
In this, you have separate daily incentives and separate weekly incentives which are shown on your application.
If you work 10 hours a day, you get a fixed salary of Rs 25 to 30 thousand.
In this, the company gives you a life insurance policy of Rs 1 lakh and an accidental life insurance policy of Rs 10 lakh which is for your safety.
Your salary is weekly. Monday comes to your account
Have you seen your delivery boy carrying Blinkit dress and bag?..
For that you have to pay charges on the application which is your joining fee...",Apna (On behalf of Blinkit Private Limited)Click here for more details,"CentralDistrict: Central, State: Delhi",0 - 31,"delivery, google map, driving, Delivery Management, Road safety, Delivery Coordination, Two-wheeler driving, Traffic systems, Deliver packages, Google map operation, Online transaction knowledge, Delivery Scheduling, Coordinating delivery times",Monthly,Full Time,40000 - 78000,1,driving
Apna (On behalf of Phone Workshop)Click here for more details,Counter Sales Executive,mobile shop par shop boy ki zarurat hai jisko scooty chalani aati ho lajpat nagar delhi ke aas paas rehta ho,Apna (On behalf of Phone Workshop)Click here for more details,"CentralDistrict: Central, State: Delhi",0 - 31,Two-wheeler driving,Monthly,Full Time,12000 - 15000,1,driving
Apna (On behalf of Muthoot Fincorp Limited)Click here for more details,Forex Officer Sales & Operations,"Will be responsible for Mapped branch Foreign exchange business and overseeing forex business of additional branch

Cros selling of Loan Product


CIBIL minimum 700 & above",Apna (On behalf of Muthoot Fincorp Limited)Click here for more details,"BangaloreDistrict: Bangalore, State: Karnataka",1 - 31,"Business Development, Current Account, Savings Account, Inside Sales, Lead Generation, Cold calling, Cross selling, prospecting, motor insurance, rapport building, Fixed Deposits, lead nurturing, Two-wheeler driving, Education Loans, Post sales follow up",Monthly,Full Time,18000 - 24000,1,driving
Apna (On behalf of EPVI New Technological Epoch)Click here for more details,Field Sales Executive,"Job Title: Sales Executive
Location: Sector 16, Noida
Department: Sales & Business Development
Employment Type: Full-time
Experience: 12 years
Salary: 3 to 4 LPA
(Male candidates are preferred)


About Us:
At Enlog, were transforming how businesses and communities manage energy. Through our smart technology and data-driven solutions, were helping organizations become more efficient and sustainable. As a fast-paced startup, we offer a dynamic work culture, hands-on impact, and opportunities to grow.


Job Overview
We are seeking a motivated and dynamic Business Development Executive to join our team. The ideal candidate will be responsible for identifying new business opportunities, building strong client relationships, and driving company growth. Candidates must possess a technical background, be fluent in both Hindi and English, and be comfortable visiting client locations as per business needs.


Key Responsibilities
Identify and develop new business opportunities through market research, networking, and cold outreach.
Build and maintain strong relationships with existing and prospective clients.
Regularly visit client locations to understand their needs, provide solutions, and ensure service satisfaction
Conduct client meetings and presentations, including on-site visits as required.
Understand client requirements and collaborate with the technical team to propose tailored solutions.
Prepare business proposals, quotations, and follow-up communication.
Maintain records of sales, revenue, and pipeline activity in the CRM system.
Attend industry events, exhibitions, or conferences to represent the company and generate leads.
Achieve sales targets and report regularly to management on performance.

Requirements
Bachelor's degree in a technical field (e.g., Computer Science, Engineering, IT, etc.) is mandatory.
Proven experience in business development, sales, or client servicing, preferably in a tech-related industry.
Fluency in both Hindi and English (spoken and wr",Apna (On behalf of EPVI New Technological Epoch)Click here for more details,"Gautam Buddha NagarDistrict: Gautam Buddha Nagar, State: Uttar Pradesh",0 - 31,"Field Sales, B2B Sales, B2C Sales, Channel Sales, area sales, Enterprise Sales, Lead Management, Distributor, Appoint distributor, SMB sales, Retail channel sales, Lead prospecting, Enterprise Solutions Sales, Lead routing, Field sampling",Monthly,Full Time,N/A,1,driving
Apna (On behalf of HDFC Ergo General Insurance Co Ltd)Click here for more details,Bancassurance Manager,"Hi ,
Please find the JD for Banca channel for HDFC Bank below:
Engagement with HDFC Bank AL/TW/TR/CV stakeholders, driving business through them and get maximum share for our company and achieve the given Target.
Giving regular training on products to Bank BDR's and getting them activated.
Achieving given renewal percentage. Ensuring compliance and process adherence at all times

Budget-3.50 lpa
Qualification-Graduation
Min -6 Months

Interested candidates can mail resumes at priya.gupta1@hdfcergo.com",Apna (On behalf of HDFC Ergo General Insurance Co Ltd)Click here for more details,N/A,0 - 31,"Business Development, Relationship Management, General Insurance, Insurance Sales, Health Insurance Sales, Business Development Management, Bfsi Sales, Agency sales, loan sales, Banca Sales, Business generation, Agency recruitment, Credit-card Sales, Life insurance plans, Corporate Loans",Monthly,Full Time,15000 - 19000,1,driving
Apna (On behalf of Delwin Plywoods)Click here for more details,Field Sales Executive,"Position: Field Sales Executive

Department: Sales

Location: Bengaluru

Reports to: Sales Manager

Job Overview:

The Field Sales Executive (FSE) will be responsible for driving sales and building relationships with existing and potential clients in the plywood industry. This role will involve direct interaction with customers, managing sales pipelines, achieving sales targets, and increasing the company's market share in the plywood sector.

Key Responsibilities:

Sales Generation & Target Achievement:

Develop and execute a sales strategy to meet and exceed sales targets for plywood products.
Identify and pursue new business opportunities, including dealers, contractors, architects, and end customers.
Maintain and grow relationships with existing customers to ensure repeat business and satisfaction.

Customer Relationship Management:

Act as the primary point of contact for customers in the assigned geographic area.
Conduct regular visits to customer locations (e.g., builders, interior & construction companies) to promote products and address customer needs.
Resolve customer queries, issues, and complaints promptly to maintain a high level of customer satisfaction.

Market Intelligence & Reporting:

Monitor and report on industry trends, competitor activities, and market demands in the plywood sector.
Prepare regular sales reports, forecasts, and updates to management, ensuring timely and accurate information.
Track sales performance, analyze data, and adjust strategies to optimize results.

Product Knowledge & Promotion:

Stay updated on the latest products, features, and benefits of plywood offerings to effectively educate customers and sell products.
Conduct product demonstrations and presentations to clients, showcasing the value of the company's products in different applications (e.g., furniture, construction, interiors).

Sales Negotiation & Closing:

Negotiate pricing, terms, and contracts to close deals and ensure profitability.
Prepare and submit quota",Apna (On behalf of Delwin Plywoods)Click here for more details,"BangaloreDistrict: Bangalore, State: Karnataka",1 - 31,"Field Sales, B2B Sales, Customer Relationship Management, B2C Sales, Lead Generation, Channel Sales, B2B marketing, area sales, upselling, Sales Operations, Leads Generation, PAYMENT FOLLOW UP, payment collections, SMB sales",Monthly,Full Time,20000 - 30000,1,driving
Apna (On behalf of Excel Education & Immigration Services)Click here for more details,Business Development Executive (BDE),"We are looking for a dynamic and goal-driven Business Development Manager to join our growing team. The ideal candidate will be responsible for identifying new business opportunities, building strong client relationships, and driving revenue growth.",Apna (On behalf of Excel Education & Immigration Services)Click here for more details,N/A,2 - 31,B2B Sales,Monthly,Full Time,20000 - 30000,1,driving
Apna (On behalf of Shiv Shakti Traders)Click here for more details,Delivery Boy Biker,"We are looking for a Delivery Boy (Biker) who will be responsible for delivering packages, food, or goods to customers on time and in a safe manner. The ideal candidate should have a valid driving license, good knowledge of local routes, and a customer-friendly attitude.

Key Responsibilities:
Pick up and deliver items to customers as per assigned routes and schedules.
Ensure timely and safe delivery of goods.
Collect payments or get customer signatures if required.
Handle items carefully to avoid damage during transit.
Follow traffic rules and company safety protocols.
Communicate with dispatchers or team leaders for updates or issues.
Maintain delivery logs and report completed deliveries.
Keep the bike in good condition and report any maintenance issues.


Blinkit Delivery Boy
Join Blinkit Delivery Boy JobEarn Upto 50000 Rs Per Month
Document Required -Aadhar Card, Pan Card, Driving Licence, Bike & Smart Phone Mandatory ( If Not Have Bike & Licence Join As A cyclist)",Apna (On behalf of Shiv Shakti Traders)Click here for more details,"Pashchimi SinghbhumDistrict: Pashchimi Singhbhum, State: Jharkhand",0 - 31,delivery,Monthly,Full Time,30000 - 45000,1,driving
Apna (On behalf of Yohaan Tours and Travels)Click here for more details,Ola / Uber Driver,Looking for candidates for Ola / Uber Driver,Apna (On behalf of Yohaan Tours and Travels)Click here for more details,"MumbaiDistrict: Mumbai, State: Maharashtra",0 - 31,"google map, driving, Road safety, Geographical Knowledge, Traffic Rules Knowledge, Traffic systems, Google map operation, Four-wheeler driving, Direction sense, Passenger safety",Monthly,Full Time,28000 - 32000,1,driving
Apna (On behalf of HDFC Ergo General Insurance Co Ltd)Click here for more details,Bancassurance Manager,"Hi ,
Please find the JD for Banca channel for HDFC Bank below:
Engagement with HDFC Bank AL/TW/TR/CV stakeholders, driving business through them and get maximum share for our company and achieve the given Target.
Giving regular training on products to Bank BDR's and getting them activated.
Achieving given renewal percentage. Ensuring compliance and process adherence at all times

Budget-3.50 lpa
Qualification-Graduation
Experience-6 months 

Interested candidates can mail resumes at priya.gupta1@hdfcergo.com",Apna (On behalf of HDFC Ergo General Insurance Co Ltd)Click here for more details,"BangaloreDistrict: Bangalore, State: Karnataka",0 - 31,"Life Insurance, General Insurance, Health Insurance Sales, Business Development Management, Bfsi Sales, Agency sales, loan sales, Banca Sales, Business generation, Business Relationship, Agency recruitment, Credit-card Sales, Corporate Loans",Monthly,Full Time,15000 - 19000,1,driving
Apna (On behalf of Supercloud Private Limited)Click here for more details,Field Collection Executive,"Position: Loan Recovery Agent
Location: Entire Kanpur Region
Industry: Automobile Finance (3-Wheeler Segment)
Reports To: Branch Manager/Recovery Manager
Role Summary:
The Loan Recovery Agent is responsible for ensuring timely collection of overdue payments from customers who have availed loans for purchasing 3-wheelers. The role requires excellent communication skills, negotiation abilities, and a strong understanding of recovery processes to maintain healthy cash flow and minimize delinquencies.
Key Responsibilities: Debt Recovery: Contact customers with overdue payments through phone calls, visits.
Educate customers on the consequences of default and the importance of maintaining a positive credit history.
Customer Relationship Management: Maintain a professional and respectful approach when dealing with customers.
Field Visits: Conduct field visits to customer locations to assess and recover overdue amounts.
Verify customer details and ensure accurate documentation during recovery visits.
Coordinate with local authorities or collection agencies, if required, to facilitate recovery.
Escalate cases of persistent defaults or disputes to the Recovery Manager for further action.
Adhere to ethical standards and maintain confidentiality of customer data.
Key Skills and Qualifications: Educational Background: Graduation mandatory. Additional certifications in finance or collections are a plus.
Experience: Minimum 1-2 years of experience in loan recovery, collections, or a related field, preferably in the automobile sector.
Skills: Strong communication and interpersonal skills.
Negotiation and persuasion abilities.
Basic understanding of financial processes and loan recovery techniques.
Proficiency in using mobile apps or software for tracking and reporting.
Other Requirements: Willingness to travel extensively for field visits.
A valid driving license (if required).

Benefits:
Competitive salary with recovery-based incentives.
Travel allowances and other perks as per c",Apna (On behalf of Supercloud Private Limited)Click here for more details,"Gautam Buddha NagarDistrict: Gautam Buddha Nagar, State: Uttar Pradesh",1 - 31,N/A,Monthly,Full Time,8000 - 14000,1,driving
Apna (On behalf of Muthoot Finance)Click here for more details,Relationship Manager,"Hiring: SO / RM
Location: Reengus, Shahpura, Renwal, Chaksu, Phagi, Jobner  Jaipur Region
Company: The Muthoot Group  LAP 

We are hiring Sales Officers / Relationship Managers to support our Loan Against Property (LAP) operations in the Jaipur region.

Key Responsibilities:
Conduct field visits and generate leads from local markets and connectors
Source LAP LAP customers from assigned areas
Guide customers through documentation and loan processes
Coordinate with internal teams to ensure timely disbursal
Meet monthly business targets


Eligibility:
Minimum qualification: 12th Pass (Graduates preferred)
1 to 3 years of field sales experience LAP, or Similar inline of lending preferred
Must have a two-wheeler and valid driving license
Familiarity with local areas like Reengus, Shahpura, Renwal, Chaksu, Phagi, and Jobner


Salary:
As per market standards with performance-based incentives

How to Apply:
Email your resume to vaibhav.chowdhary@muthootgroup.com
Contact: 9677052326",Apna (On behalf of Muthoot Finance)Click here for more details,"JaipurDistrict: Jaipur, State: Rajasthan",0 - 31,"Loan Against Property, Mortgage Loan Sales, LAP (Loan against property)",Monthly,Full Time,N/A,1,driving
Apna (On behalf of Blackbuck)Click here for more details,Telesales Executive,"Job Overview:
We are looking for a motivated and results-driven Telesales Executive with 0-3 years of experience to join our sales team. As a Telesales Executive, you will be responsible for reaching out to potential clients via phone, understanding their needs, and promoting our products or services. You will play a key role in driving revenue growth and expanding our customer base.
Key Responsibilities:
Make outbound calls to prospective customers.
Present, promote, and sell products/services using solid arguments to potential clients.
Achieve daily and monthly sales targets.
Maintain a detailed database of all interactions and follow-ups.
Handle customer inquiries and complaints, providing excellent customer service.
Collaborate with the sales team to close deals.

Requirements:
0-3 years of experience in telesales or a similar sales/customer service role.
Excellent communication and interpersonal skills.
Strong negotiation and problem-solving abilities.
Ability to work in a fast-paced environment and meet targets.
Basic computer skills, including CRM software and MS Office.

Benefits:
Competitive salary with performance-based incentives.
Opportunities for career growth and development.
Supportive team and work environment.",Apna (On behalf of Blackbuck)Click here for more details,"BangaloreDistrict: Bangalore, State: Karnataka",0 - 31,"telesales, Voice Process, Hindi, B2C Sales, Telemarketing, Telecalling, Domestic BPO, Telesales/Telemarketing, Telephonic support, Telecalling - Customer Service, Telecalling marketing",Monthly,Full Time,16000 - 22000,1,driving
Apna (On behalf of Blinkit Private Limited)Click here for more details,Delivery Boy,"Job Title: Delivery BoyJob
Description (English):
Responsibilities:
Pick up and deliver packages to customers on time
Ensure the items are handled with care during transit
Follow the assigned delivery route and time schedule
Collect payment if required and submit to office
Maintain cleanliness and basic upkeep of delivery vehicle (bike, cycle, etc.)
Follow traffic rules and company guidelines
Provide good customer service with a polite attitude

Requirements:
Valid Driving License (if using bike/scooter)
Familiar with local routes and areas
Ability to use smartphone and navigation apps
Punctual and responsible
Minimum 10th pass preferred

Salary:40,000  50,000 + Incentives
Job Timing:Flexible / Shift basis",Apna (On behalf of Blinkit Private Limited)Click here for more details,"BharatpurDistrict: Bharatpur, State: Rajasthan",0 - 31,delivery,Monthly,Full Time,N/A,1,driving
Apna (On behalf of Printmatics)Click here for more details,Delivery Boy,"Field delivery works, paper and products delivery and pick up, office stock management, office maintenance, purchases, client meets, measurements of site etc. etc.",Apna (On behalf of Printmatics)Click here for more details,"BangaloreDistrict: Bangalore, State: Karnataka",0 - 31,"delivery, google map, driving, Road safety, Geographical Knowledge, Pickup and drop, Two-wheeler driving, Traffic Rules Knowledge, Traffic systems, Heavy driving, Deliver packages, Google map operation, Four-wheeler driving, Passenger safety, Inclement weather driving",Monthly,Full Time,12000 - 15000,1,driving
Apna (On behalf of Miror Therapeutics Private Limited)Click here for more details,Medical Representative (MR),"Hello Candidate,

Hope you're doing well!

We have an exciting opening for theField Sales Executiverole atMiror, offering strong growth potential and a dynamic work environment.
If you're interested or know someone who might be, feel free to reach via job posting Looking forward to connecting!

About Miror
Miror is Indias leading FemTech platform transforming how women experience peri-menopause and menopause. In just a year, weve built Indias largest menopause-focused WhatsApp community, partnered with the National Health Mission and the Indian Menopause Society, and launched category-defining nutraceutical products and digital health services. Our app blends science and technologyoffering personalized care pathways, symptom tracking, diagnostic links, games, AI-powered chat, expert consultations, and more. We're proud recipients of the Innovation in Menopause Care award at the Global Womens Health Innovation Conference 2024 and are rapidly scaling toward our $1B+ vision.Learn more:www.miror.in

Job Description:

Field Sales Executive
Location: Your City / Your area

Experience Required:
Minimum 1 year in relevant industry (FemTech, Healthcare, Wellness, or FMCG preferred)

Key Responsibilities:-
Conduct direct field sales and product demos to potential customers.- Visit clinics, pharmacies, wellness centres, and residential areas as per assigned territory
Achieve monthly sales targets and growth KPIs.
Build and maintain strong customer relationships.
Collect market intelligence and customer feedback to improve sales strategies
Submit daily/weekly reports to the Sales Manager
Ensure proper product placement and branding visibility.

Requirements
Minimum 1 year of field sales experience in relevant industries (FemTech, Healthtech, Wellness, Pharma, or FMCG)
Excellent communication and interpersonal skills.
Self-motivated and target-driven.
- Must own a personal two-wheeler with a valid driving license.
- Comfortable with daily field visits and travel across assigned",Apna (On behalf of Miror Therapeutics Private Limited)Click here for more details,"South Twenty Four ParganasDistrict: South Twenty Four Parganas, State: West Bengal",2 - 31,"Pharmaceutical Sales, Pharma Marketing, pharmacology, pharmaceutical products, Medicine knowledge, Pharmaceutical Care, MR - Medical sales, Drugs and Medicine",Monthly,Full Time,20000 - 70000,1,driving
Apna (On behalf of Aditya Birla Capital Limited)Click here for more details,Home Loan Executive,"Job Title: Relationship officer / Key Relationship officer*
Company: Aditya Birla Capital
Salary: Up to 3.4 LPA
location : Chennai


Job Summary:

Aditya Birla Capital is seeking a motivated and dynamic Field Sales Officer to join our growing team. The ideal candidate will have strong interpersonal skills, a customer-focused attitude, and prior experience in field sales. You will be responsible for driving sales growth, generating leads, and ensuring high levels of customer satisfaction.


Key Responsibilities:

* Identify potential customers and generate leads through field visits.
* Promote and sell financial products and services offered by Aditya Birla Capital.
* Build and maintain strong relationships with clients to ensure repeat business and referrals.
* Achieve monthly and quarterly sales targets and performance metrics.
* Provide accurate information to customers regarding products and services.
* Ensure timely follow-ups and maintain customer records.
* Represent the brand in a professional and ethical manner at all times.


Requirements:

* Graduate in any discipline.
* Minimum 1 year of experience in field sales or a similar role.
* Proficiency in English is mandatory.
* Male candidates only (as per role requirements).
* Must own a two-wheeler with a valid driving license.
* Age: Up to 35 years.
* Strong communication and negotiation skills.
* Ability to work independently and manage time effectively.



What We Offer:

* Competitive salary package (up to 3.4 LPA).
* Performance-based incentives.
* Opportunity to work with a reputed financial services brand.
* Supportive team environment and career growth opportunities.",Apna (On behalf of Aditya Birla Capital Limited)Click here for more details,"ChennaiDistrict: Chennai, State: Tamil Nadu",0 - 31,"home loans, Housing Loan, Loan Against Property, Home loan sales, housing finance, Property loan, LAP (Loan against property), Home Loan Processing, Home Loan Support, Home Loan Approvals",Monthly,Full Time,N/A,1,driving
Apna (On behalf of RA Brewing Venture)Click here for more details,Field Sales Executive,"Field Sales Executive  Spices (Pune / Pimpri)



 Position Overview

A seasoned B2B field sales professional with minimum 3 years experience in FMCG, preferably in spices, to own and grow sales territory in and around Pune/Pimpri. The role includes driving new account acquisitions, strengthening distributor and retailer relationships, executing in-store promotions, and consistently meeting sales targets.



 Key Responsibilities
	Manage and expand distribution across grocery retailers, restaurants, and wholesalers within the designated territory.
	Achieve monthly sales targets (primary and secondary), including volume, revenue, and retailer coverage.
	Conduct product demos, tastings, and merchandising in-store; ensure SKU visibility and brand presence.
	Build and maintain strong relationships with distributors and retailers; handle negotiations, claims, and credit collections.
	Monitor competitor activity, pricing, and market trends; prepare insights and reports regularly .
	Plan and execute promotions, trade activations, and new product launches at the outlet level.
	Maintain daily/weekly beat plans, route sheets, and CRM-based reporting.



 Candidate Profile
	Experience: Minimum 5 years in FMCG field sales; spice experience is a strong plus.
	Education: Graduate; a marketing/business background preferred.
	Language: Fluent in Marathi, Hindi, and English.
	Skills: Excellent negotiation, communication, relationship-building; analytical and market-sensing mindset.
	Tools: Comfortable using smartphones and CRM/order-capture apps ().
	Mobility: Owns a two-wheeler with a valid driving license; willing to travel across the territory daily ().



 Compensation & Benefits
	Base salary: 25000 - 30000 PM based on experience and track record ().
	Performance incentives: Volume and recovery based commission of monthly sales + bonuses on new account and distributor first order.
	Allowances: Petrol/travel, mobile.



 Work Schedule & Location
	Full-time, field-based role (6 d",Apna (On behalf of RA Brewing Venture)Click here for more details,"PuneDistrict: Pune, State: Maharashtra",3 - 31,"Field Sales, Food And Beverage, B2B Sales, B2C Sales, Channel Sales, area sales, Enterprise Sales, Distributor Handling, Distributor, food and beverage knowledge, Appoint distributor, SMB sales, Retail channel sales, Field sampling",Monthly,Full Time,25000 - 30000,1,driving
Apna (On behalf of B&W Car Care)Click here for more details,Car Accessories Mechanic,"Job Title: Car Accessories Mechanic
 Department: Automobile Workshop / Service Center
 Job Type: Full Time
 Salary: 10,000  20,000 (Based on experience and skills)
 Experience Required: 6 months to 3 years (Freshers with basic knowledge can be considered)
 Education: 10th Pass / ITI (Automobile or Electrical preferred)
Key Responsibilities:
Installation of car accessories such as:
Music systems, speakers, woofers
Reverse cameras, parking sensors
LED lights, seat covers, sun film, central locking
GPS, screen display units, dashboard accessories
Basic electrical wiring and fuse management
Troubleshooting and repairs of installed accessories
Ensure clean and proper fitting without damage to vehicle
Keep inventory of tools and accessories
Maintain cleanliness and safety in the work area
Customer interaction when needed (for demo or issue explanation)
Skills Required:
Hands-on experience in car accessory fitting
Basic automobile electrical knowledge
Use of drill machines, wire strippers, clamps, etc.
Attention to detail in fitting and finish
Ability to work independently and in a team
Basic understanding of different car models and fitments
Other Preferences:
Should be comfortable working in workshop environment
Willingness to work on Sundays (if required) with compensatory off
Candidates with experience in branded accessory shops will be preferred",Apna (On behalf of B&W Car Care)Click here for more details,"BikanerDistrict: Bikaner, State: Rajasthan",0 - 31,"Installation, Equipment Installation, System Installation, Device installation, Car Accessories, Equipments installation, Vehicle Customization",Monthly,Full Time,N/A,1,mechanic
